check_id,status,check,expected,actual,evidence,workbook_sha256
W-CC01,PASS,Collateral-call row 1 matches governed ladder,"(Decimal('0.02'), Decimal('3870600.00'), 'PASS', Decimal('58100.00'), Decimal('0.00'), Decimal('3000000.00'))","(Decimal('0.02'), Decimal('3870600'), 'PASS', Decimal('58100'), Decimal('0.00'), Decimal('3000000'))",Collateral!C38:L38,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-CC02,PASS,Collateral-call row 2 matches governed ladder,"(Decimal('0.05'), Decimal('3751500.00'), 'CALL_REQUIRED', Decimal('-61000.00'), Decimal('64695.74'), Decimal('2900000.00'))","(Decimal('0.05'), Decimal('3751500'), 'CALL_REQUIRED', Decimal('-61000'), Decimal('64695.74'), Decimal('2900000'))",Collateral!C39:L39,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-CC03,PASS,Collateral-call row 3 matches governed ladder,"(Decimal('0.10'), Decimal('3553000.00'), 'CALL_REQUIRED', Decimal('-259500.00'), Decimal('290512.17'), Decimal('2700000.00'))","(Decimal('0.1'), Decimal('3553000'), 'CALL_REQUIRED', Decimal('-259500'), Decimal('290512.17'), Decimal('2700000'))",Collateral!C40:L40,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-CC04,PASS,Collateral-call row 4 matches governed ladder,"(Decimal('0.20'), Decimal('3156000.00'), 'CALL_REQUIRED', Decimal('-656500.00'), Decimal('826826.20'), Decimal('2400000.00'))","(Decimal('0.2'), Decimal('3156000'), 'CALL_REQUIRED', Decimal('-656500'), Decimal('826826.20'), Decimal('2400000'))",Collateral!C41:L41,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-CC05,PASS,Collateral-call row 5 matches governed ladder,"(Decimal('0.30'), Decimal('2759000.00'), 'CALL_REQUIRED', Decimal('-1053500.00'), Decimal('1516372.80'), Decimal('2100000.00'))","(Decimal('0.3'), Decimal('2759000'), 'CALL_REQUIRED', Decimal('-1053500'), Decimal('1516372.80'), Decimal('2100000'))",Collateral!C42:L42,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-CC06,PASS,Collateral-call row 6 matches governed ladder,"(Decimal('0.40'), Decimal('2362000.00'), 'CALL_REQUIRED', Decimal('-1450500.00'), Decimal('2435768.26'), Decimal('1800000.00'))","(Decimal('0.4'), Decimal('2362000'), 'CALL_REQUIRED', Decimal('-1450500'), Decimal('2435768.26'), Decimal('1800000'))",Collateral!C43:L43,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-CC07,PASS,Collateral-call row 7 matches governed ladder,"(Decimal('0.50'), Decimal('1965000.00'), 'CALL_REQUIRED', Decimal('-1847500.00'), Decimal('3722921.91'), Decimal('1500000.00'))","(Decimal('0.5'), Decimal('1965000'), 'CALL_REQUIRED', Decimal('-1847500'), Decimal('3722921.91'), Decimal('1500000'))",Collateral!C44:L44,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-CC08,PASS,Exact modeled breach stress,0.034635,0.034635,Collateral!D46,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-057-K,PASS,Scenario base K matches engine,3870600.00,3870600,Scenarios!K7,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-057-L,PASS,Scenario base L matches engine,3046480.00,3046480,Scenarios!L7,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-057-M,PASS,Scenario base M matches engine,5050000.00,5050000,Scenarios!M7,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-057-N,PASS,Scenario base N matches engine,1179400.00,1179400,Scenarios!N7,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-058-K,PASS,Scenario collateral_down_30 K matches engine,2759000.00,2759000,Scenarios!K8,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-058-L,PASS,Scenario collateral_down_30 L matches engine,2157200.00,2157200,Scenarios!L8,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-058-M,PASS,Scenario collateral_down_30 M matches engine,5050000.00,5050000,Scenarios!M8,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-058-N,PASS,Scenario collateral_down_30 N matches engine,2291000.00,2291000,Scenarios!N8,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-059-K,PASS,Scenario route_delay_24h K matches engine,3830000.00,3830000,Scenarios!K9,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-059-L,PASS,Scenario route_delay_24h L matches engine,3014000.00,3014000,Scenarios!L9,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-059-M,PASS,Scenario route_delay_24h M matches engine,5050000.00,5050000,Scenarios!M9,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-059-N,PASS,Scenario route_delay_24h N matches engine,1220000.00,1220000,Scenarios!N9,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-060-K,PASS,Scenario route_failure K matches engine,0.00,0,Scenarios!K10,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-060-L,PASS,Scenario route_failure L matches engine,0.00,0,Scenarios!L10,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-060-M,PASS,Scenario route_failure M matches engine,5050000.00,5050000,Scenarios!M10,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-060-N,PASS,Scenario route_failure N matches engine,5050000.00,5050000,Scenarios!N10,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-0701,PASS,Workbook FIN-001 matches fact ledger,421300000,421300000,Financials!E7,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-0702,PASS,Workbook FIN-002 matches fact ledger,0.30,0.3,Financials!E8,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-0703,PASS,Workbook FIN-003 matches fact ledger,35577,35577,Financials!E9,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-0704,PASS,Workbook FIN-004 matches fact ledger,2100000000,2100000000,Financials!E10,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-0705,PASS,Workbook FIN-005 matches fact ledger,4742,4742,Financials!E11,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-0706,PASS,Workbook FIN-006 matches fact ledger,4528,4528,Financials!E12,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-0707,PASS,Workbook FIN-007 matches fact ledger,26307,26307,Financials!E13,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-0708,PASS,Workbook FIN-008 matches fact ledger,2400000000,2400000000,Financials!E17,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-0709,PASS,Workbook FIN-009 matches fact ledger,150000000,150000000,Financials!E18,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-0710,PASS,Workbook FIN-010 matches fact ledger,48100000,48100000,Financials!E19,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-0711,PASS,Workbook FIN-011 matches fact ledger,-802700000,-802700000,Financials!E20,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-0712,PASS,Workbook FIN-012 matches fact ledger,291600000,291600000,Financials!E21,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-0713,PASS,Workbook FIN-013 matches fact ledger,3600000000,3600000000,Financials!E22,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-L01,PASS,Liquidity line LIQ-01 matches analysis,"('LIQ-01', Decimal('421300000.00'))","('LIQ-01', Decimal('421300000'))",Liquidity!C7:E7,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-L02,PASS,Liquidity line LIQ-02 matches analysis,"('LIQ-02', Decimal('-126390000.00'))","('LIQ-02', Decimal('-126390000'))",Liquidity!C8:E8,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-L03,PASS,Liquidity line LIQ-03 matches analysis,"('LIQ-03', Decimal('294910000.00'))","('LIQ-03', Decimal('294910000'))",Liquidity!C9:E9,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-L04,PASS,Liquidity line LIQ-04 matches analysis,"('LIQ-04', Decimal('-150000000.00'))","('LIQ-04', Decimal('-150000000'))",Liquidity!C10:E10,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-L05,PASS,Liquidity line LIQ-05 matches analysis,"('LIQ-05', Decimal('-48100000.00'))","('LIQ-05', Decimal('-48100000'))",Liquidity!C11:E11,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-L06,PASS,Liquidity line LIQ-06 matches analysis,"('LIQ-06', Decimal('96810000.00'))","('LIQ-06', Decimal('96810000'))",Liquidity!C12:E12,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-L07,PASS,Liquidity line LIQ-07 matches analysis,"('LIQ-07', Decimal('-291600000.00'))","('LIQ-07', Decimal('-291600000'))",Liquidity!C13:E13,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-L08,PASS,Liquidity line LIQ-08 matches analysis,"('LIQ-08', Decimal('-194790000.00'))","('LIQ-08', Decimal('-194790000'))",Liquidity!C14:E14,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-L09,PASS,Liquidity line LIQ-09 matches analysis,"('LIQ-09', Decimal('-802700000.00'))","('LIQ-09', Decimal('-802700000'))",Liquidity!C15:E15,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-S01,PASS,Sensitivity D8 matches decision surface,1500000.00,1500000,Sensitivity!D8,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-S02,PASS,Sensitivity E10 matches decision surface,3000000.00,3000000,Sensitivity!E10,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-S03,PASS,Sensitivity H10 matches decision surface,2400000.00,2400000,Sensitivity!H10,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-S04,PASS,Sensitivity K10 matches decision surface,1500000.00,1500000,Sensitivity!K10,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
W-S05,PASS,Sensitivity K12 matches decision surface,2300000.00,2300000,Sensitivity!K12,25b254e85e6d29daf0fbdad5002b7c6bcedf46a1d4868f14bce45f2c40080c00
